Currency;Day_max rate;Max rate;Day_min rate;Min rate;Avg rate
BTC;2023-01-31;1670687.543478;2023-01-01;1198845.096774;1413587.7
CNY;2023-01-31;10.68347;2023-01-01;9.845475;10.3100004196166
AED;2023-01-31;20.065046;2023-01-01;17.96626;19.0599994659423
